Titulo,link
Tipografia en entorns GNU/Linux,http://openaccess.uoc.edu/webapps/o2/handle/10609/105766
Realidad aumentada en dispositivos móviles de uso personal en los museos,http://openaccess.uoc.edu/webapps/o2/handle/10609/45826
Fundamentos del diseño tipográfico para pantallas de visualización de datos,http://openaccess.uoc.edu/webapps/o2/handle/10609/45632
Conceptualización y diseño de una AppQuest como herramienta de aprendizaje en un curso del área financiera,http://openaccess.uoc.edu/webapps/o2/handle/10609/45607
Llibre interactiu infantil per a iPad : 'El secret dels somnis',http://openaccess.uoc.edu/webapps/o2/handle/10609/45591
Interlibros : Conceptualización de una aplicación móvil dedicada al mercado de libros de texto de segunda mano,http://openaccess.uoc.edu/webapps/o2/handle/10609/45589
Contenidor multimèdia d'entrevistes i reportatges,http://openaccess.uoc.edu/webapps/o2/handle/10609/45587
Diseño de una aplicación dirigida al área de la salud para el control de agendamiento de citas y servicios domiciliarios médicos para pacientes,http://openaccess.uoc.edu/webapps/o2/handle/10609/45422
Renovació i reelaboració del web d'una entitat esportiva,http://openaccess.uoc.edu/webapps/o2/handle/10609/45401
Design of a SMART knowledge management system,http://openaccess.uoc.edu/webapps/o2/handle/10609/45384
Aplicació per a la gestió d'encàrrecs per a establiments de restauració i menjar per a emportar,http://openaccess.uoc.edu/webapps/o2/handle/10609/45383
Disseny d'una app de compravenda d'objectes,http://openaccess.uoc.edu/webapps/o2/handle/10609/45382
Implementación de una página web corporativa : Gráficas San Vicente,http://openaccess.uoc.edu/webapps/o2/handle/10609/45321
"Aplicació web per l'anàlisi, tractament i visualització d'activitats enregistrades amb dispositius amb sensor GPS combinat amb altres sensors",http://openaccess.uoc.edu/webapps/o2/handle/10609/45281
Imagen y aplicación móvil para la asociación de Blues Santako in Blues de Santa Coloma de Gramenet,http://openaccess.uoc.edu/webapps/o2/handle/10609/45248
Plataforma web per a la realització de consultes virtuals,http://openaccess.uoc.edu/webapps/o2/handle/10609/45245
"Redisseny i actualització del web d'una borsa de treball sanitària (revisió, anàlisi i propostes de millora)",http://openaccess.uoc.edu/webapps/o2/handle/10609/45244
Re-disseny de la web de la Universitat Pompeu Fabra per optimitzar-la a multi-dispositius,http://openaccess.uoc.edu/webapps/o2/handle/10609/45242
Aplicació web HelpDesk,http://openaccess.uoc.edu/webapps/o2/handle/10609/45241
Voluntarios en Acción : Aplicación móvil para la participación y gestión de programas de voluntariado social,http://openaccess.uoc.edu/webapps/o2/handle/10609/45222
Conceptualització i disseny d'un portal de serveis per al sector de reformes i interiorisme,http://openaccess.uoc.edu/webapps/o2/handle/10609/43030
Interacción de los espectadores y aficionados en los espectáculos deportivos y la LFP,http://openaccess.uoc.edu/webapps/o2/handle/10609/43027
"""My wee app"" : Disseny i desenvolupament d'una aplicació mòbil útil per a la criança de nadons",http://openaccess.uoc.edu/webapps/o2/handle/10609/43021
Diseño de una app que sirva de repositorio multimedia para niños,http://openaccess.uoc.edu/webapps/o2/handle/10609/42988
"Conceptualització, proposta tècnica, prototipatge i estratègia de màrqueting pel llançament d'un portal web d'escalada i alpinisme a Catalunya",http://openaccess.uoc.edu/webapps/o2/handle/10609/42963
LinkEdu,http://openaccess.uoc.edu/webapps/o2/handle/10609/42961
"Documental interactivo ""L'oiseau migrateur""",http://openaccess.uoc.edu/webapps/o2/handle/10609/42941
"Disseny d'interfície d'una aplicació per a iPad, com a suport de la metodologia basada en tasques, utilitzada en l'ensenyament de l'anglès a nivell  de primària",http://openaccess.uoc.edu/webapps/o2/handle/10609/42921
Agrupándonos,http://openaccess.uoc.edu/webapps/o2/handle/10609/42853
Implementació d'una aplicació iOS per gestionar ingressos i despeses en habitatges d'ús turístic,http://openaccess.uoc.edu/webapps/o2/handle/10609/42823
Radius augmented reality : Desenvolupament d'una aplicació de realitat augmentada per a iPhone per visualitzar els llocs d'interès propers a l'usuari en entorns urbans controlats,http://openaccess.uoc.edu/webapps/o2/handle/10609/42804
"Imagen, diseño y marketing de una aplicación de RA de promoción de ideas por catálogo : Mi Mobiliaire",http://openaccess.uoc.edu/webapps/o2/handle/10609/42780
Aplicación Android como estrategia de apoyo en la enseñanza de las matemáticas,http://openaccess.uoc.edu/webapps/o2/handle/10609/42776
BuzzWall : Conceptualització i disseny d'un servei per mostrar la conversa social en un esdeveniment,http://openaccess.uoc.edu/webapps/o2/handle/10609/42767
Disseny i conceptualització d'una intranet corporativa,http://openaccess.uoc.edu/webapps/o2/handle/10609/42766
"BallApp : Conceptualització, disseny i prototipatge d'una aplicació de ballet per a adults",http://openaccess.uoc.edu/webapps/o2/handle/10609/42763
Aplicació de networking per a Android fent ús de la tecnologia NFC,http://openaccess.uoc.edu/webapps/o2/handle/10609/42662
Conceptualización y diseño de una app híbrida para Amigos de Silva ONGD,http://openaccess.uoc.edu/webapps/o2/handle/10609/42626
Web-app exposiciones de arte en escenarios alternos,http://openaccess.uoc.edu/webapps/o2/handle/10609/42594
Conceptualització i disseny d'un videojoc d'avaluació cognitiva (3-6 anys),http://openaccess.uoc.edu/webapps/o2/handle/10609/42593
Boat Attack : El desenvolupament d'una aplicació mòbil,http://openaccess.uoc.edu/webapps/o2/handle/10609/42589
Realidad aumentada aplicada a la tecnología móvil en el sector turístico,http://openaccess.uoc.edu/webapps/o2/handle/10609/42588
Remodelació i reestructuració de la web corporativa de Rücker Lypsa S.L.U.,http://openaccess.uoc.edu/webapps/o2/handle/10609/40622
Creació del lloc web i e-commerce 'Cosmética Profesional Online',http://openaccess.uoc.edu/webapps/o2/handle/10609/40621
Juga i aprèn,http://openaccess.uoc.edu/webapps/o2/handle/10609/40602
TPVCloud terminal punto de venta online,http://openaccess.uoc.edu/webapps/o2/handle/10609/40564
Appunta-t : Desenvolupament d'un frontal web responsiu,http://openaccess.uoc.edu/webapps/o2/handle/10609/40542
The impact of COTS software on the public procurement of mission-critical systems : The case of the Spanish ATC system,http://openaccess.uoc.edu/webapps/o2/handle/10609/40521
Aplicació cloud per a gestió de consultes fisio-osteopàtiques,http://openaccess.uoc.edu/webapps/o2/handle/10609/40483
Implementación de una plataforma educativa en la enseñanza semipresencial de español como lengua extranjera,http://openaccess.uoc.edu/webapps/o2/handle/10609/40481
CV Onlinae,http://openaccess.uoc.edu/webapps/o2/handle/10609/40415
Desarrollo de aplicación web para la asociación Perros del Ebro,http://openaccess.uoc.edu/webapps/o2/handle/10609/40391
Importance of the independent video game phenomenon and how it is pushing forward the video game industry,http://openaccess.uoc.edu/webapps/o2/handle/10609/40343
"YouTube : Fenomen social, cultural i artístic",http://openaccess.uoc.edu/webapps/o2/handle/10609/40321
Usos de la realidad aumentada en conjunción con objetos inteligentes y wearables en las tecnologías de asistencia a la vida cotidiana,http://openaccess.uoc.edu/webapps/o2/handle/10609/40307
Estudi i disseny d'una aplicació web per organitzar i difondre les tasques educatives d'estudiants,http://openaccess.uoc.edu/webapps/o2/handle/10609/40146
"Solució mòbil d'ús intern per a Nobel Biocare Ibérica, S.A.",http://openaccess.uoc.edu/webapps/o2/handle/10609/40101
Medí Galofré comercials,http://openaccess.uoc.edu/webapps/o2/handle/10609/40024
Adaptación a PrestaShop de la tienda online rollandrollshop.com,http://openaccess.uoc.edu/webapps/o2/handle/10609/40002
Què fem? : Conceptualización y diseño de una aplicación con la oferta de ocio de La Vanguardia,http://openaccess.uoc.edu/webapps/o2/handle/10609/36881
Rediseño y actualización de la web de la OACNUDH Colombia,http://openaccess.uoc.edu/webapps/o2/handle/10609/36201
App de control alimentari,http://openaccess.uoc.edu/webapps/o2/handle/10609/36102
Conceptualització i disseny d'una aplicació per al sector immobiliari,http://openaccess.uoc.edu/webapps/o2/handle/10609/35961
Implementación de estrategias docentes con tecnología : Estudio de casos en Unipanamericana Fundación Universitaria,http://openaccess.uoc.edu/webapps/o2/handle/10609/35921
Implementació d'una aplicació multi-jugador a temps real per a Android,http://openaccess.uoc.edu/webapps/o2/handle/10609/35761
PodiumCam : Creació del lloc web podiumcam.com per streaming i vídeo sota demanda d'esdeveniments esportius,http://openaccess.uoc.edu/webapps/o2/handle/10609/35701
Diseño de una red social gastronómica,http://openaccess.uoc.edu/webapps/o2/handle/10609/35641
"Aplicació mòbil per gestionar, comprar i validar bitllets de transport públic",http://openaccess.uoc.edu/webapps/o2/handle/10609/35621
"Aplicació web Perafita, un lloc per veure i per viure",http://openaccess.uoc.edu/webapps/o2/handle/10609/35581
Aplicació multiplataforma de resultats d'hoquei sobre patins,http://openaccess.uoc.edu/webapps/o2/handle/10609/35541
Desarrollo de un cliente web de emails seguros : Secretify,http://openaccess.uoc.edu/webapps/o2/handle/10609/35401
Diseño y promoción de una red social árabe multiplataforma,http://openaccess.uoc.edu/webapps/o2/handle/10609/35381
Optimització de la web de l'Hospital Universitari Vall d'Hebron per a dispositius mòbils,http://openaccess.uoc.edu/webapps/o2/handle/10609/35301
Joc de dames multiplataforma per a dispositius mòbils,http://openaccess.uoc.edu/webapps/o2/handle/10609/35101
"Objetivo: Autocupación 2.0 : Conceptualización, diseño y puesta en marcha de una iniciativa empresarial basada en el desarrollo y diseño web, apps, los contenidos digitales y el marketing online",http://openaccess.uoc.edu/webapps/o2/handle/10609/34941
Integration and usage of mobile photo applications in virtual learning environments,http://openaccess.uoc.edu/webapps/o2/handle/10609/32281
La viabilidad del juego indie,http://openaccess.uoc.edu/webapps/o2/handle/10609/27121
Definición de producto para una aplicación móvil de comparación de precios,http://openaccess.uoc.edu/webapps/o2/handle/10609/26901
